country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date,lat,lon
Brazil,MG,Alto Jequitibá/MG,3153509,31059,Manhuaçu,11,799,132.51415,9625.34634,0.01377,MS,2021-07-14,2,0,2021-07-14,-20.423611,-41.966111
Brazil,PI,Alto Longá/PI,2200301,22004,Entre Rios,14,647,97.63582,4512.16961,0.02164,MS,2021-07-14,0,0,2021-07-14,-5.2549051,-42.2072388
Brazil,MT,Alto Paraguai/MT,5100508,51004,Centro Norte,28,895,244.05125,7800.92391,0.03128,MS,2021-07-14,1,0,2021-07-14,-14.513712,-56.4936374
Brazil,PR,Alto Paraná/PR,4100608,41014,14ª RS Paranavaí,26,1208,174.97813,8129.75301,0.02152,SES,2021-07-14,2,0,2021-07-14,-23.131247,-52.318893
Brazil,GO,Alto Paraíso de Goiás/GO,5200605,52003,Entorno Norte,8,655,104.05827,8519.77107,0.01221,MS,2021-07-14,0,0,2021-07-14,-14.1304779,-47.5100161
Brazil,PR,Alto Paraíso/PR,4128625,41012,12ª RS Umuarama,5,296,186.21974,11024.20857,0.01689,SES,2021-07-14,1,0,2021-07-14,-23.508137,-53.728537
Brazil,RO,Alto Paraíso/RO,1100403,11001,Vale do Jamari,48,1819,219.7098,8326.08596,0.02639,MS,2021-07-14,0,0,2021-07-14,-9.7240103,-63.3188123
Brazil,MA,Alto Parnaíba/MA,2100501,21003,Balsas,11,895,98.10917,7982.51873,0.01229,MS,2021-07-14,0,1,2021-07-14,-9.112506,-45.9310154
Brazil,PR,Alto Piquiri/PR,4100707,41012,12ª RS Umuarama,25,1011,255.67601,10339.53774,0.02473,SES,2021-07-14,5,0,2021-07-14,-24.0239021,-53.4417448
Brazil,MG,Alto Rio Doce/MG,3102100,31013,Barbacena,27,486,248.64168,4475.55023,0.05556,MS,2021-07-14,7,0,2021-07-14,-21.0239537,-43.4133507
Brazil,ES,Alto Rio Novo/ES,3200359,32001,Central,22,717,279.40056,9105.91821,0.03068,MS,2021-07-14,0,0,2021-07-14,-19.0577208,-41.0171518
Brazil,CE,Alto Santo/CE,2300705,23010,10ª Região Limoeiro do Norte,32,1885,186.08979,10961.85159,0.01698,MS,2021-07-14,6,1,2021-07-14,-5.5190371,-38.2719351
Brazil,MT,Alto Taquari/MT,5100607,51013,Sul Matogrossense,27,1489,242.52223,13374.65194,0.01813,MS,2021-07-14,0,0,2021-07-14,-17.8269099,-53.2831736
Brazil,RN,Alto do Rodrigues/RN,2400703,24008,8ª Região de Saúde - Açu,40,2504,271.59153,17001.62955,0.01597,MS,2021-07-14,0,0,2021-07-14,-5.290868,-36.7616726
Brazil,PI,Altos/PI,2200400,22004,Entre Rios,89,4427,219.18483,10902.5982,0.0201,MS,2021-07-14,0,0,2021-07-14,-5.0393915,-42.4611694
Brazil,PR,Altônia/PR,4100509,41012,12ª RS Umuarama,27,1301,121.75325,5866.70274,0.02075,SES,2021-07-14,9,0,2021-07-14,-23.8722004,-53.894037
Brazil,SP,Alumínio/SP,3501152,35163,Sorocaba,44,1506,234.45409,8024.72425,0.02922,MS,2021-07-14,1,0,2021-07-14,-23.5203479,-47.2575256
Brazil,MG,Alvarenga/MG,3102209,31040,Resplendor,4,501,104.05827,13033.29865,0.00798,MS,2021-07-14,3,0,2021-07-14,-19.4175,-41.728334
Brazil,AM,Alvarães/AM,1300029,13008,Triângulo,46,2893,283.60049,17836.00493,0.0159,MS,2021-07-14,1,0,2021-07-14,-3.214786,-64.8143124
Brazil,SP,Alvinlândia/SP,3501509,35093,Marília,9,140,278.03522,4324.99228,0.06429,MS,2021-07-14,0,0,2021-07-14,-22.4431852,-49.7643596
Brazil,MG,Alvinópolis/MG,3102308,31060,Ponte Nova,22,695,145.03263,4581.7127,0.03165,MS,2021-07-14,4,0,2021-07-14,-20.1105199,-43.0601805
Brazil,RO,Alvorada D'Oeste/RO,1100346,11003,Central,29,1128,205.58628,7996.59719,0.02571,MS,2021-07-14,2,0,2021-07-14,-11.346271,-62.284697
Brazil,MG,Alvorada de Minas/MG,3102407,31095,Serro,3,274,83.21775,7600.55479,0.01095,MS,2021-07-14,1,0,2021-07-14,-18.7318587,-43.3641479
Brazil,PI,Alvorada do Gurguéia/PI,2200459,22002,Chapada das Mangabeiras,10,425,183.65473,7805.32599,0.02353,MS,2021-07-14,0,0,2021-07-14,-8.4465288,-43.8655915
Brazil,GO,Alvorada do Norte/GO,5200803,52007,Nordeste II,8,769,91.90121,8834.00345,0.0104,MS,2021-07-14,0,0,2021-07-14,-14.483911,-46.4959897
Brazil,PR,Alvorada do Sul/PR,4100806,41017,17ª RS Londrina,25,843,217.33461,7328.52299,0.02966,SES,2021-07-14,0,0,2021-07-14,-22.7807269,-51.2307721
